pred_demand_mwh,date_time,lat,long,Year,Month,Day,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,month,day_of_week,day_of_month,hour,is_weekend,season,zipcode
1019.66656,1/1/19,24.57,-81.78,2019,1,1,31.41666667,321.9583333,21.8125,0.03,5.345833333,82.62708333,24.96666667,1019.333333,1,1,1,0,0,0,33040
1039.18065,1/2/19,24.57,-81.78,2019,1,2,49.04166667,214.3333333,21.81666667,0.03,5.55,82.56083333,25.0125,1019.5,1,2,2,0,0,0,33040
1222.583727,1/3/19,24.57,-81.78,2019,1,3,36.91666667,300.5,22.87916667,0.04,4.2375,87.08958333,25.17916667,1017.416667,1,3,3,0,0,0,33040
1247.31399,1/4/19,24.57,-81.78,2019,1,4,47.75,246.6666667,22.65416667,0.04,3.708333333,86.07833333,25.15416667,1016.166667,1,4,4,0,0,0,33040
1058.874221,1/5/19,24.57,-81.78,2019,1,5,64,162.9166667,21.52916667,0.04,3.75,86.01916667,24.03333333,1016.583333,1,5,5,0,1,0,33040
972.2442603,1/6/19,24.57,-81.78,2019,1,6,32.91666667,315.6666667,17.025,0.04,4.929166667,79.05791667,20.81666667,1019.458333,1,6,6,0,1,0,33040
1165.481988,1/7/19,24.57,-81.78,2019,1,7,43.95833333,274.0416667,19.55416667,0.04,4.1875,80.06541667,23.19166667,1020.375,1,0,7,0,0,0,33040
1210.436486,1/8/19,24.57,-81.78,2019,1,8,28.83333333,334.1666667,20.41666667,0.04,3.620833333,79.69375,24.14166667,1020.333333,1,1,8,0,0,0,33040
1197.007617,1/9/19,24.57,-81.78,2019,1,9,57.79166667,161.7916667,19.92083333,0.04,3.7125,82.05875,23.16666667,1019.125,1,2,9,0,0,0,33040
1223.968252,1/10/19,24.57,-81.78,2019,1,10,31.95833333,324.7916667,15.4125,0.05,6.7375,74.30166667,20.14583333,1017.958333,1,3,10,0,0,0,33040
1093.832453,1/11/19,24.57,-81.78,2019,1,11,31.5,330.4166667,14.41666667,0.04,5.141666667,71.405,19.7625,1018.916667,1,4,11,0,0,0,33040
1026.934471,1/12/19,24.57,-81.78,2019,1,12,40.91666667,296.5,18.39583333,0.04,5.85,73.89333333,23.30833333,1019.708333,1,5,12,0,1,0,33040
1105.768407,1/13/19,24.57,-81.78,2019,1,13,44.875,258.625,20.09583333,0.04,2.85,80.61041667,23.63333333,1020.083333,1,6,13,0,1,0,33040
1129.503927,1/14/19,24.57,-81.78,2019,1,14,70.625,148.2916667,20.025,0.04,3.854166667,88.12875,22.1,1020.416667,1,0,14,0,0,0,33040
1049.340876,1/15/19,24.57,-81.78,2019,1,15,65.125,65.45833333,16.5625,0.04,5.566666667,83.005,19.53333333,1020.166667,1,1,15,0,0,0,33040
1035.86347,1/16/19,24.57,-81.78,2019,1,16,54.16666667,257.0416667,14.54166667,0.04,5.995833333,78.04416667,18.45833333,1021.166667,1,2,16,0,0,0,33040
1133.248302,1/17/19,24.57,-81.78,2019,1,17,60.83333333,204.9583333,16.22916667,0.04,4.816666667,76.83208333,20.48333333,1021.291667,1,3,17,0,0,0,33040
1180.267535,1/18/19,24.57,-81.78,2019,1,18,30.16666667,346.8333333,17.83333333,0.04,3.808333333,78.28666667,21.79166667,1020.125,1,4,18,0,0,0,33040
865.1336215,1/19/19,24.57,-81.78,2019,1,19,50.08333333,258.25,19.05,0.03,4.333333333,77.83458333,23.13333333,1016.708333,1,5,19,0,1,0,33040
785.1094579,1/20/19,24.57,-81.78,2019,1,20,69.66666667,100,20.1625,0.03,7.0375,86.235,22.60416667,1014.833333,1,6,20,0,1,0,33040
799.1851818,1/21/19,24.57,-81.78,2019,1,21,30.79166667,355.25,13.775,0.03,6.520833333,77.94958333,17.68333333,1022.333333,1,0,21,0,0,0,33040
941.2237801,1/22/19,24.57,-81.78,2019,1,22,67.66666667,167.9583333,17.33333333,0.03,7.870833333,75.44458333,21.875,1023.625,1,1,22,0,0,0,33040
952.5298474,1/23/19,24.57,-81.78,2019,1,23,64.83333333,173.4166667,19.79583333,0.03,8.554166667,80.37166667,23.39166667,1020.416667,1,2,23,0,0,0,33040
984.5882102,1/24/19,24.57,-81.78,2019,1,24,62.16666667,49.41666667,22.49166667,0.03,4.95,91.74708333,23.91666667,1015.75,1,3,24,0,0,0,33040
916.6211702,1/25/19,24.57,-81.78,2019,1,25,64.41666667,10.79166667,19.14166667,0.03,5.2,90.71666667,20.73333333,1018.583333,1,4,25,0,0,0,33040
702.0189368,1/26/19,24.57,-81.78,2019,1,26,59.33333333,49.5,17.07083333,0.03,6.558333333,85.88041667,19.56666667,1018.541667,1,5,26,0,1,0,33040
755.061802,1/27/19,24.57,-81.78,2019,1,27,45,1.916666667,21.025,0.03,6.758333333,88.28791667,23.09583333,1010.75,1,6,27,0,1,0,33040
876.705731,1/28/19,24.57,-81.78,2019,1,28,75.70833333,137.625,15.3375,0.04,8.216666667,86.39333333,17.65833333,1013.75,1,0,28,0,0,0,33040
816.1811024,1/29/19,24.57,-81.78,2019,1,29,28.70833333,374.7083333,11.77083333,0.03,2.825,72.84875,16.82916667,1017.083333,1,1,29,0,0,0,33040
1180.005952,1/30/19,24.57,-81.78,2019,1,30,78.20833333,63.16666667,14.8125,0.04,1.216666667,68.71291667,20.90416667,1017.666667,1,2,30,0,0,0,33040
969.7122469,1/31/19,24.57,-81.78,2019,1,31,70.375,149.5,18.2625,0.03,4.179166667,85.28416667,20.8375,1020.666667,1,3,31,0,0,0,33040
1033.406364,2/1/19,24.57,-81.78,2019,2,1,39.16666667,314.2916667,19.84166667,0.03,4.3875,84.12416667,22.6625,1019.916667,2,4,1,0,0,0,33040
859.5550621,2/2/19,24.57,-81.78,2019,2,2,32.70833333,337.375,21.40416667,0.03,4.225,89.08458333,23.29583333,1018.5,2,5,2,0,1,0,33040
896.3285084,2/3/19,24.57,-81.78,2019,2,3,29.25,356.5833333,21.12916667,0.03,2.091666667,88.3325,23.17083333,1016.208333,2,6,3,0,1,0,33040
972.1098215,2/4/19,24.57,-81.78,2019,2,4,67.95833333,113.1666667,19.925,0.03,2.870833333,87.7825,22.05,1016.416667,2,0,4,0,0,0,33040
987.0172133,2/5/19,24.57,-81.78,2019,2,5,54.79166667,235.0416667,19.40416667,0.03,2.95,85.75125,21.90833333,1017.625,2,1,5,0,0,0,33040
1012.722564,2/6/19,24.57,-81.78,2019,2,6,31.375,361.875,19.55,0.03,4.175,81.45125,22.91666667,1019.125,2,2,6,0,0,0,33040
1042.742189,2/7/19,24.57,-81.78,2019,2,7,57.54166667,280.375,19.125,0.03,5.045833333,78.10916667,23.15416667,1019.333333,2,3,7,0,0,0,33040
1250.631671,2/8/19,24.57,-81.78,2019,2,8,36.58333333,326.7083333,19.39583333,0.04,4.008333333,78.0325,23.4375,1020.416667,2,4,8,0,0,0,33040
1071.289045,2/9/19,24.57,-81.78,2019,2,9,50.83333333,246.5833333,19.85416667,0.04,5.304166667,80.82458333,23.34166667,1022.333333,2,5,9,0,1,0,33040
1072.798169,2/10/19,24.57,-81.78,2019,2,10,57.16666667,245.125,20.44166667,0.04,6.6125,81.49916667,23.8,1021.875,2,6,10,0,1,0,33040
1183.364118,2/11/19,24.57,-81.78,2019,2,11,76.25,155.8333333,21.45,0.04,5.725,84.7525,24.17916667,1018.958333,2,0,11,0,0,0,33040
1178.502296,2/12/19,24.57,-81.78,2019,2,12,42.625,297.125,22.6625,0.04,5.266666667,87.99375,24.7875,1016.916667,2,1,12,0,0,0,33040
1128.523789,2/13/19,24.57,-81.78,2019,2,13,47.375,3.583333333,21.78333333,0.04,4.4875,92.42708333,23.1,1015.875,2,2,13,0,0,0,33040
