Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1017179,-,-,-,30.29,-82.14,-5,42,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2019,1,1,0,0,0,0,16.900000000000002,0.14,0.5,100,16.900000000000002,1016,N/A
2019,1,1,0,30,0,0,16.7,0.14,0.5,100,16.7,1016,N/A
2019,1,1,1,0,0,0,16.5,0.14,0.5,100,16.5,1016,N/A
2019,1,1,1,30,0,0,16.400000000000002,0.14,0.5,100,16.400000000000002,1016,N/A
2019,1,1,2,0,0,0,16.2,0.14,0.5,100,16.2,1016,N/A
2019,1,1,2,30,0,0,16,0.14,0.5,100,16,1016,N/A
2019,1,1,3,0,0,0,15.8,0.14,0.5,100,15.8,1016,N/A
2019,1,1,3,30,0,0,15.600000000000001,0.14,0.5,100,15.600000000000001,1016,N/A
2019,1,1,4,0,0,0,15.3,0.14,0.5,100,15.3,1016,N/A
2019,1,1,4,30,0,0,15.100000000000001,0.14,0.5,100,15.100000000000001,1016,N/A
2019,1,1,5,0,0,0,14.9,0.14,0.5,100,14.9,1016,N/A
2019,1,1,5,30,0,0,14.8,0.14,0.5,100,14.8,1016,N/A
2019,1,1,6,0,0,0,14.700000000000001,0.14,0.5,100,14.700000000000001,1016,N/A
2019,1,1,6,30,0,0,14.9,0.14,0.5,100,14.9,1016,N/A
2019,1,1,7,0,0,0,15,0.14,0.5,100,15,1017,N/A
2019,1,1,7,30,10,86,16,0.14,0.6000000000000001,97.51,16.400000000000002,1017,N/A
2019,1,1,8,0,34,392,17.1,0.14,0.7000000000000001,96.19,17.7,1017,N/A
2019,1,1,8,30,47,580,17.1,0.14,0.6000000000000001,89.24,18.900000000000002,1017,N/A
2019,1,1,9,0,57,692,18.3,0.14,0.6000000000000001,89.19,20.1,1017,N/A
2019,1,1,9,30,65,763,18.3,0.14,0.6000000000000001,81.86,21.5,1017,N/A
2019,1,1,10,0,71,809,19.200000000000003,0.14,0.6000000000000001,79.25,23,1017,N/A
2019,1,1,10,30,88,786,19.200000000000003,0.14,0.7000000000000001,75.53,23.8,1017,N/A
2019,1,1,11,0,84,848,19.1,0.14,0.8,71.27,24.700000000000003,1017,N/A
2019,1,1,11,30,82,880,19.1,0.14,0.8,69.52,25.1,1016,N/A
2019,1,1,12,0,84,886,19.200000000000003,0.14,0.8,68.21000000000001,25.5,1016,N/A
2019,1,1,12,30,87,884,19.200000000000003,0.14,0.8,67.81,25.6,1016,N/A
2019,1,1,13,0,88,876,19.400000000000002,0.14,0.8,67.61,25.8,1015,N/A
2019,1,1,13,30,88,865,19.400000000000002,0.14,0.7000000000000001,68.01,25.700000000000003,1015,N/A
2019,1,1,14,0,87,845,19.6,0.14,0.7000000000000001,68.95,25.700000000000003,1015,N/A
2019,1,1,14,30,83,819,19.6,0.14,0.6000000000000001,70.18,25.400000000000002,1015,N/A
2019,1,1,15,0,79,783,20.1,0.14,0.6000000000000001,73.97,25.1,1015,N/A
2019,1,1,15,30,73,735,20.1,0.14,0.5,76.2,24.6,1015,N/A
2019,1,1,16,0,67,641,21.200000000000003,0.14,0.4,84.14,24,1015,N/A
2019,1,1,16,30,54,556,21.200000000000003,0.14,0.4,92.17,22.5,1016,N/A
2019,1,1,17,0,38,384,20,0.14,0.4,94.15,21,1016,N/A
2019,1,1,17,30,14,106,20,0.14,0.4,97.68,20.400000000000002,1016,N/A
2019,1,1,18,0,0,0,18.900000000000002,0.14,0.4,95.29,19.700000000000003,1016,N/A
2019,1,1,18,30,0,0,18.900000000000002,0.14,0.4,95.29,19.700000000000003,1016,N/A
2019,1,1,19,0,0,0,18.5,0.14,0.5,96.18,19.1,1017,N/A
2019,1,1,19,30,0,0,18.5,0.14,0.5,97.99000000000001,18.8,1017,N/A
2019,1,1,20,0,0,0,18.1,0.14,0.5,97.39,18.5,1017,N/A
2019,1,1,20,30,0,0,18.1,0.14,0.5,99.23,18.2,1017,N/A
2019,1,1,21,0,0,0,17.7,0.14,0.5,99.41,17.8,1017,N/A
2019,1,1,21,30,0,0,17.6,0.14,0.5,100,17.6,1017,N/A
2019,1,1,22,0,0,0,17.3,0.14,0.5,100,17.3,1017,N/A
2019,1,1,22,30,0,0,17,0.14,0.5,100,17,1017,N/A
2019,1,1,23,0,0,0,16.8,0.14,0.5,100,16.8,1017,N/A
2019,1,1,23,30,0,0,16.6,0.14,0.5,100,16.6,1017,N/A
2019,1,2,0,0,0,0,16.400000000000002,0.14,0.5,100,16.400000000000002,1017,N/A
2019,1,2,0,30,0,0,16.2,0.14,0.5,100,16.2,1017,N/A
2019,1,2,1,0,0,0,16,0.14,0.5,100,16,1017,N/A
2019,1,2,1,30,0,0,15.9,0.14,0.5,100,15.9,1017,N/A
2019,1,2,2,0,0,0,15.8,0.14,0.5,100,15.8,1017,N/A
