Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,911950,-,-,-,30.41,-87.22,0,13,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,0,30,0,0,20.1,0.12,2.7,99.62,20.2,1017,30.41,-87.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,1,30,0,0,20.2,0.12,2.7,99.75,20.2,1017,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,2,30,0,0,20.2,0.12,2.7,100,20.2,1017,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,3,30,0,0,20.2,0.12,2.8,100,20.2,1017,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,4,30,0,0,20.3,0.12,2.8,99.94,20.3,1017,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,5,30,0,0,20.3,0.12,2.8,100,20.3,1017,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,6,30,0,0,20.3,0.12,2.8,100,20.3,1018,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,7,30,0,0,20.2,0.12,2.7,100,20.2,1018,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,8,30,0,0,20,0.12,2.5,100,20,1017,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,9,30,0,0,19.9,0.12,2.2,100,19.9,1017,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,10,30,0,0,19.6,0.12,1.9,100,19.6,1017,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,11,30,0,0,19.5,0.12,1.6,100,19.5,1018,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,12,30,0,0,19.5,0.12,1.6,99.3,19.6,1019,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,13,30,35,0,19.9,0.12,1.8,98.7,20.1,1020,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,14,30,105,8,20.3,0.12,1.9,98.18,20.6,1020,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,15,30,168,27,20.6,0.12,1.8,97.12,21.1,1020,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,16,30,217,123,20.8,0.12,1.8,95.9,21.5,1020,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,17,30,212,69,20.8,0.12,1.8,94.16,21.8,1019,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,18,30,243,94,20.8,0.12,1.7,93.25,21.9,1019,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,19,30,194,40,20.7,0.12,1.6,93.36,21.8,1018,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,20,30,138,409,20.6,0.12,1.4,94.81,21.5,1019,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,21,30,99,232,20.6,0.12,1.1,97.8,21,1019,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,22,30,31,92,20.3,0.12,0.8,100,20.3,1019,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,23,30,0,0,19.9,0.12,0.7,99.63,20,1020,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,0,30,0,0,19.8,0.1,0.6,99.85,19.8,1020,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,1,30,0,0,19.7,0.1,0.4,99.69,19.8,1021,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,2,30,0,0,19.6,0.1,0.3,99.85,19.6,1020,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,3,30,0,0,19.3,0.1,0.3,100,19.3,1020,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,4,30,0,0,19.1,0.1,0.3,99.69,19.1,1020,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,5,30,0,0,18.8,0.1,0.3,99.62,18.9,1020,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,6,30,0,0,18.6,0.1,0.3,99.52,18.7,1020,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,7,30,0,0,18.4,0.1,0.3,99.98,18.4,1019,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,8,30,0,0,18.2,0.1,0.4,99.87,18.2,1019,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,9,30,0,0,17.9,0.1,0.6,100,17.9,1019,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
