lat,long,value_counts,zipcode,city
24.57,-81.78,365,33040,
25.77,-80.18,365,33131,
29.65,-81.62,365,32177,
29.73,-84.98,365,32320,
29.81,-85.3,365,32456,
29.89,-81.3,365,32080,
29.93,-82.1,365,32091,Starke
30.01,-82.34,365,32054,Lake Butler
30.01,-81.66,365,,
30.05,-83.18,365,32066,Mayo
30.13,-83.58,365,32347,Perry
30.17,-85.66,365,32401,Panama City
30.17,-84.38,365,32327,Crawfordville
30.17,-82.62,365,32025,Lake City
30.29,-82.98,365,32064,Live Oak
30.29,-82.14,365,32063,Macclenny
30.33,-81.66,365,32202,Jacksonville
30.41,-87.22,365,32502,Pensacola
30.45,-87.22,365,32503,Pensacola
30.45,-85.06,365,32424,Blountstown
30.45,-84.98,365,32321,Bristol
30.45,-84.3,365,32304,Tallahassee
30.45,-83.42,365,32340,Madison
30.53,-83.86,365,32344,Monticello
30.57,-84.58,365,32351,Quincy
30.65,-87.06,365,32570,Milton
30.65,-81.46,365,32034,Fernandina Beach
30.73,-86.1,365,32433,Defuniak Springs
30.77,-86.58,365,32536,Crestview
30.77,-85.54,365,32428,Chipley
30.77,-85.22,365,32448,Marianna
29.65,-82.34,365,32601,Gainesville
29.45,-81.26,365,32110,Bunnell
29.45,-82.66,365,32621,Bronson
27.53,-81.82,365,33873,Wauchula
26.13,-81.78,365,34112,Naples
26.65,-81.86,365,33916,Fort Myers
26.73,-80.06,365,33407,West Palm Beach
26.77,-81.42,365,33935,Labelle
26.85,-81.1,365,33471,Moore Haven
26.93,-82.06,365,33950,Punta Gorda
27.21,-81.86,365,34266,Arcadia
27.21,-80.26,365,34994,Stuart
27.25,-80.82,365,34972,Okeechobee
27.33,-82.54,365,34236,Sarasota
27.45,-80.34,365,34950,Fort Pierce
27.49,-82.58,365,34205,Bradenton
27.49,-81.46,365,,
27.65,-80.38,365,32960,Vero Beach
29.17,-82.14,365,34471,Ocala
27.89,-81.86,365,33830,Bartow
27.93,-82.46,365,33606,Tampa
27.97,-82.78,365,33755,Clearwater
28.29,-81.42,365,34741,Kissimmee
28.37,-82.18,365,33525,Dade City
28.53,-81.38,365,32806,Orlando
28.57,-82.38,365,34601,Brooksville
28.61,-80.82,365,32796,Titusville
28.65,-82.1,365,33513,Bushnell
28.81,-81.74,365,32778,Tavares
28.81,-81.26,365,32771,Sanford
28.85,-82.34,365,34453,Inverness
29.01,-81.3,365,32720,Deland
30.81,-85.7,365,32425,Bonifay
,,,,
