,respondent_id_ferc714,report_date,utc_datetime,timezone,demand_mwh
426228,262,2014-01-01 00:00:00,2014-01-01 05:00:00,America/New_York,1510.0
1046371,262,2014-01-01 00:00:00,2014-01-01 06:00:00,America/New_York,1428.0
1666514,262,2014-01-01 00:00:00,2014-01-01 07:00:00,America/New_York,1378.0
2286657,262,2014-01-01 00:00:00,2014-01-01 08:00:00,America/New_York,1324.0
2906800,262,2014-01-01 00:00:00,2014-01-01 09:00:00,America/New_York,1326.0
3526943,262,2014-01-01 00:00:00,2014-01-01 10:00:00,America/New_York,1347.0
4147086,262,2014-01-01 00:00:00,2014-01-01 11:00:00,America/New_York,1387.0
4767229,262,2014-01-01 00:00:00,2014-01-01 12:00:00,America/New_York,1396.0
5387372,262,2014-01-01 00:00:00,2014-01-01 13:00:00,America/New_York,1485.0
6007515,262,2014-01-01 00:00:00,2014-01-01 14:00:00,America/New_York,1623.0
6627658,262,2014-01-01 00:00:00,2014-01-01 15:00:00,America/New_York,1762.0
7247801,262,2014-01-01 00:00:00,2014-01-01 16:00:00,America/New_York,1844.0
7867944,262,2014-01-01 00:00:00,2014-01-01 17:00:00,America/New_York,1891.0
8488087,262,2014-01-01 00:00:00,2014-01-01 18:00:00,America/New_York,1868.0
9108230,262,2014-01-01 00:00:00,2014-01-01 19:00:00,America/New_York,1859.0
9728373,262,2014-01-01 00:00:00,2014-01-01 20:00:00,America/New_York,1828.0
10348516,262,2014-01-01 00:00:00,2014-01-01 21:00:00,America/New_York,1824.0
10968659,262,2014-01-01 00:00:00,2014-01-01 22:00:00,America/New_York,1913.0
11588802,262,2014-01-01 00:00:00,2014-01-01 23:00:00,America/New_York,1999.0
12208945,262,2014-01-01 00:00:00,2014-01-02 00:00:00,America/New_York,1966.0
12829088,262,2014-01-01 00:00:00,2014-01-02 01:00:00,America/New_York,1899.0
13449231,262,2014-01-01 00:00:00,2014-01-02 02:00:00,America/New_York,1819.0
14069374,262,2014-01-01 00:00:00,2014-01-02 03:00:00,America/New_York,1689.0
14689517,262,2014-01-01 00:00:00,2014-01-02 04:00:00,America/New_York,1554.0
426229,262,2014-01-01 00:00:00,2014-01-02 05:00:00,America/New_York,1426.0
1046372,262,2014-01-01 00:00:00,2014-01-02 06:00:00,America/New_York,1336.0
