,id_x,plant_id_eia_x,generator_id_x,report_date_x,net_generation_mwh,plant_generator_id,utility_id_eia,id_y,plant_id_eia_y,generator_id_y,report_date_y,energy_source_code_1,operational_status,capacity_mw
780,781,136,1,1/1/09,225059,136_1,21554,29620,136,1,1/1/20,BIT,existing,735.9
781,782,136,1,2/1/09,407871,136_1,21554,29620,136,1,1/1/20,BIT,existing,735.9
782,783,136,1,3/1/09,320254,136_1,21554,29620,136,1,1/1/20,BIT,existing,735.9
783,784,136,1,4/1/09,299048,136_1,21554,29620,136,1,1/1/20,BIT,existing,735.9
784,785,136,1,5/1/09,232839,136_1,21554,29620,136,1,1/1/20,BIT,existing,735.9
785,786,136,1,6/1/09,437575,136_1,21554,29620,136,1,1/1/20,BIT,existing,735.9
786,787,136,1,7/1/09,204427,136_1,21554,29620,136,1,1/1/20,BIT,existing,735.9
787,788,136,1,8/1/09,-3184,136_1,21554,29620,136,1,1/1/20,BIT,existing,735.9
788,789,136,1,9/1/09,-3866,136_1,21554,29620,136,1,1/1/20,BIT,existing,735.9
789,790,136,1,10/1/09,-7789,136_1,21554,29620,136,1,1/1/20,BIT,existing,735.9
790,791,136,1,11/1/09,209967,136_1,21554,29620,136,1,1/1/20,BIT,existing,735.9
791,792,136,1,12/1/09,420800,136_1,21554,29620,136,1,1/1/20,BIT,existing,735.9
792,793,136,2,1/1/09,289084,136_2,21554,29619,136,2,1/1/20,BIT,existing,735.9
793,794,136,2,2/1/09,-2394,136_2,21554,29619,136,2,1/1/20,BIT,existing,735.9
794,795,136,2,3/1/09,102406,136_2,21554,29619,136,2,1/1/20,BIT,existing,735.9
795,796,136,2,4/1/09,424021,136_2,21554,29619,136,2,1/1/20,BIT,existing,735.9
796,797,136,2,5/1/09,446064,136_2,21554,29619,136,2,1/1/20,BIT,existing,735.9
797,798,136,2,6/1/09,443378,136_2,21554,29619,136,2,1/1/20,BIT,existing,735.9
798,799,136,2,7/1/09,462670,136_2,21554,29619,136,2,1/1/20,BIT,existing,735.9
799,800,136,2,8/1/09,467113,136_2,21554,29619,136,2,1/1/20,BIT,existing,735.9
800,801,136,2,9/1/09,447035,136_2,21554,29619,136,2,1/1/20,BIT,existing,735.9
801,802,136,2,10/1/09,469267,136_2,21554,29619,136,2,1/1/20,BIT,existing,735.9
802,803,136,2,11/1/09,373239,136_2,21554,29619,136,2,1/1/20,BIT,existing,735.9
803,804,136,2,12/1/09,432527,136_2,21554,29619,136,2,1/1/20,BIT,existing,735.9
3120,3121,645,ST1,1/1/09,245980,645_ST1,18454,28447,645,ST1,1/1/20,BIT,existing,445.5
3121,3122,645,ST1,2/1/09,173435,645_ST1,18454,28447,645,ST1,1/1/20,BIT,existing,445.5
