Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1008401,-,-,-,28.05,-82.58,0,7,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2017,1,1,0,30,0,0,12,0.124,0.7000000000000001,71.3,18,1020,N/A
2017,1,1,1,30,0,0,13,0.124,0.8,77.36,17,1020,N/A
2017,1,1,2,30,0,0,13,0.124,1.3,83.3,16,1020,N/A
2017,1,1,3,30,0,0,13,0.124,1.6,88.34,15,1020,N/A
2017,1,1,4,30,0,0,12,0.124,1.7000000000000002,92.63,14,1020,N/A
2017,1,1,5,30,0,0,12,0.124,1.8,91.68,14,1020,N/A
2017,1,1,6,30,0,0,12,0.124,1.9000000000000001,98.54,13,1020,N/A
2017,1,1,7,30,0,0,13,0.124,2.1,100,13,1010,N/A
2017,1,1,8,30,0,0,13,0.124,2.4000000000000004,100,13,1010,N/A
2017,1,1,9,30,0,0,13,0.124,2.6,100,13,1010,N/A
2017,1,1,10,30,0,0,13,0.124,2.9000000000000004,100,13,1010,N/A
2017,1,1,11,30,0,0,13,0.124,3.2,100,13,1010,N/A
2017,1,1,12,30,0,0,14,0.124,3.9000000000000004,97.36,15,1020,N/A
2017,1,1,13,30,56,540,14,0.124,4.2,86.41,17,1020,N/A
2017,1,1,14,30,77,731,14,0.124,4.2,72.84,20,1020,N/A
2017,1,1,15,30,90,816,15,0.124,4.4,63.68,23,1020,N/A
2017,1,1,16,30,97,856,16,0.124,4,62.85,24,1020,N/A
2017,1,1,17,30,99,867,16,0.124,3.6,60.53,25,1010,N/A
2017,1,1,18,30,97,854,16,0.124,3.1,57.58,26,1010,N/A
2017,1,1,19,30,91,815,17,0.124,2.6,57.81,26,1010,N/A
2017,1,1,20,30,80,730,17,0.124,2,61.51,25,1010,N/A
2017,1,1,21,30,60,556,17,0.124,1.4000000000000001,66.87,24,1010,N/A
2017,1,1,22,30,18,127,17,0.124,1,76.88,22,1010,N/A
2017,1,1,23,30,0,0,17,0.124,0.7000000000000001,75.8,22,1020,N/A
2017,1,2,0,30,0,0,17,0.124,0.6000000000000001,81.17,21,1020,N/A
2017,1,2,1,30,0,0,17,0.124,0.7000000000000001,87,20,1020,N/A
2017,1,2,2,30,0,0,17,0.124,0.9,93.12,19,1020,N/A
2017,1,2,3,30,0,0,17,0.124,1.1,99.88,18,1020,N/A
2017,1,2,4,30,0,0,18,0.124,1.3,100,18,1020,N/A
2017,1,2,5,30,0,0,18,0.124,1.6,100,18,1020,N/A
2017,1,2,6,30,0,0,18,0.124,1.8,100,18,1020,N/A
2017,1,2,7,30,0,0,17,0.124,1.9000000000000001,100,17,1020,N/A
2017,1,2,8,30,0,0,17,0.124,1.9000000000000001,100,17,1020,N/A
2017,1,2,9,30,0,0,17,0.124,1.9000000000000001,100,17,1020,N/A
2017,1,2,10,30,0,0,17,0.124,2.1,100,17,1020,N/A
2017,1,2,11,30,0,0,17,0.124,2.5,100,17,1020,N/A
2017,1,2,12,30,0,0,18,0.124,3.1,100,19,1020,N/A
2017,1,2,13,30,51,555,19,0.124,3.5,89.4,21,1020,N/A
2017,1,2,14,30,71,736,19,0.124,3.5,82.54,23,1020,N/A
2017,1,2,15,30,93,787,20,0.124,3.5,79.07000000000001,24,1020,N/A
2017,1,2,16,30,282,127,19,0.124,3.6,73.59,25,1020,N/A
2017,1,2,17,30,96,861,19,0.124,3.4000000000000004,68.28,26,1010,N/A
2017,1,2,18,30,95,850,19,0.124,3,63.67,27,1010,N/A
2017,1,2,19,30,89,811,19,0.124,2.7,66.85,26,1010,N/A
2017,1,2,20,30,79,729,19,0.124,2.2,70.62,25,1010,N/A
2017,1,2,21,30,60,560,19,0.124,1.7000000000000002,76.22,24,1010,N/A
2017,1,2,22,30,18,152,19,0.124,1.5,86.38,22,1010,N/A
2017,1,2,23,30,0,0,19,0.124,1.5,91.87,21,1010,N/A
2017,1,3,0,30,0,0,19,0.124,1.4000000000000001,93.29,21,1010,N/A
2017,1,3,1,30,0,0,20,0.124,1.3,100,20,1010,N/A
2017,1,3,2,30,0,0,20,0.124,1.3,100,20,1010,N/A
2017,1,3,3,30,0,0,20,0.124,1.3,100,20,1010,N/A
2017,1,3,4,30,0,0,19,0.124,1.3,100,19,1010,N/A
2017,1,3,5,30,0,0,19,0.124,1.4000000000000001,100,19,1010,N/A
2017,1,3,6,30,0,0,19,0.124,1.7000000000000002,100,19,1010,N/A
2017,1,3,7,30,0,0,19,0.124,1.9000000000000001,100,19,1010,N/A
2017,1,3,8,30,0,0,19,0.124,2.1,100,19,1010,N/A
2017,1,3,9,30,0,0,19,0.124,2.4000000000000004,100,19,1010,N/A
2017,1,3,10,30,0,0,19,0.124,2.8000000000000003,100,19,1010,N/A
2017,1,3,11,30,0,0,20,0.124,2.8000000000000003,100,20,1010,N/A
2017,1,3,12,30,0,0,20,0.124,3.1,100,20,1010,N/A
2017,1,3,13,30,49,558,20,0.124,3.7,98.92,21,1010,N/A
2017,1,3,14,30,162,106,21,0.124,4.1000000000000005,89.97,23,1010,N/A
2017,1,3,15,30,222,285,21,0.124,4.3,83.84,24,1010,N/A
2017,1,3,16,30,86,858,20,0.124,4.3,76.98,25,1010,N/A
2017,1,3,17,30,208,562,20,0.124,4.2,71.28,26,1010,N/A
2017,1,3,18,30,185,599,20,0.124,4.1000000000000005,75.22,25,1010,N/A
2017,1,3,19,30,184,507,20,0.124,3.8000000000000003,79.92,25,1010,N/A
2017,1,3,20,30,144,414,20,0.124,3.3000000000000003,80.60000000000001,24,1010,N/A
2017,1,3,21,30,85,312,20,0.124,2.4000000000000004,87.25,23,1010,N/A
2017,1,3,22,30,20,0,21,0.124,1.7000000000000002,100,21,1010,N/A
2017,1,3,23,30,0,0,21,0.124,1.7000000000000002,100,21,1010,N/A
2017,1,4,0,30,0,0,21,0.124,2,100,21,1010,N/A
2017,1,4,1,30,0,0,21,0.124,2.4000000000000004,100,21,1010,N/A
2017,1,4,2,30,0,0,21,0.124,2.6,100,21,1010,N/A
2017,1,4,3,30,0,0,21,0.124,2.7,100,21,1010,N/A
2017,1,4,4,30,0,0,20,0.124,2.7,100,21,1010,N/A
2017,1,4,5,30,0,0,20,0.124,2.7,100,20,1010,N/A
2017,1,4,6,30,0,0,20,0.124,2.6,100,20,1010,N/A
2017,1,4,7,30,0,0,20,0.124,2.4000000000000004,100,20,1010,N/A
2017,1,4,8,30,0,0,20,0.124,2.3000000000000003,100,20,1010,N/A
2017,1,4,9,30,0,0,20,0.124,2,100,20,1010,N/A
2017,1,4,10,30,0,0,19,0.124,1.8,100,20,1010,N/A
2017,1,4,11,30,0,0,19,0.124,1.8,100,19,1010,N/A
2017,1,4,12,30,0,0,19,0.124,2.2,100,19,1010,N/A
2017,1,4,13,30,61,475,19,0.124,2.7,99.87,20,1010,N/A
2017,1,4,14,30,85,690,18,0.124,2.9000000000000004,87.01,21,1010,N/A
2017,1,4,15,30,104,781,17,0.124,3.2,73.81,22,1010,N/A
2017,1,4,16,30,102,858,15,0.124,3.6,68.37,22,1010,N/A
2017,1,4,17,30,99,892,14,0.124,3.9000000000000004,63.190000000000005,22,1010,N/A
2017,1,4,18,30,95,890,13,0.124,4.1000000000000005,60.050000000000004,22,1010,N/A
2017,1,4,19,30,87,860,13,0.124,4.1000000000000005,62.730000000000004,21,1010,N/A
2017,1,4,20,30,76,781,13,0.124,3.9000000000000004,66.99,20,1010,N/A
2017,1,4,21,30,59,613,13,0.124,3.1,72.49,19,1010,N/A
2017,1,4,22,30,29,0,14,0.124,2.3000000000000003,79.7,18,1010,N/A
2017,1,4,23,30,0,0,14,0.124,1.9000000000000001,87.93,17,1010,N/A
2017,1,5,0,30,0,0,15,0.124,1.8,89.68,17,1010,N/A
2017,1,5,1,30,0,0,15,0.124,1.6,96.15,17,1010,N/A
2017,1,5,2,30,0,0,15,0.124,1.5,96.28,16,1010,N/A
2017,1,5,3,30,0,0,15,0.124,1.4000000000000001,96.03,16,1010,N/A
2017,1,5,4,30,0,0,15,0.124,1.4000000000000001,95.71000000000001,16,1010,N/A
2017,1,5,5,30,0,0,15,0.124,1.5,95.42,16,1010,N/A
2017,1,5,6,30,0,0,15,0.124,1.3,94.83,16,1010,N/A
2017,1,5,7,30,0,0,14,0.124,1.2000000000000002,93.75,16,1010,N/A
2017,1,5,8,30,0,0,14,0.124,1.2000000000000002,92.68,16,1010,N/A
2017,1,5,9,30,0,0,14,0.124,1.3,98.06,15,1010,N/A
2017,1,5,10,30,0,0,14,0.124,1.2000000000000002,97.21000000000001,15,1010,N/A
2017,1,5,11,30,0,0,14,0.124,1.1,95.89,15,1010,N/A
2017,1,5,12,30,0,0,14,0.124,1.1,94.99,15,1010,N/A
2017,1,5,13,30,72,419,14,0.124,0.9,83.12,17,1010,N/A
2017,1,5,14,30,103,639,14,0.124,1,73.75,19,1010,N/A
2017,1,5,15,30,115,760,14,0.124,1.9000000000000001,70.74,20,1010,N/A
2017,1,5,16,30,285,146,14,0.124,2.5,66.98,21,1010,N/A
2017,1,5,17,30,303,206,14,0.124,3,62.83,22,1010,N/A
2017,1,5,18,30,262,364,14,0.124,3.4000000000000004,61.74,22,1010,N/A
2017,1,5,19,30,88,851,14,0.124,3.5,60.620000000000005,22,1010,N/A
2017,1,5,20,30,78,773,13,0.124,3.4000000000000004,63.58,21,1010,N/A
2017,1,5,21,30,60,607,13,0.124,2.7,68.1,20,1010,N/A
2017,1,5,22,30,20,193,14,0.124,1.9000000000000001,79.79,18,1010,N/A
2017,1,5,23,30,0,0,15,0.124,1.5,88.19,17,1010,N/A
2017,1,6,0,30,0,0,15,0.124,1.2000000000000002,90.51,17,1010,N/A
2017,1,6,1,30,0,0,15,0.124,1.1,97.74000000000001,16,1010,N/A
2017,1,6,2,30,0,0,15,0.124,0.9,98.66,16,1010,N/A
2017,1,6,3,30,0,0,15,0.124,0.7000000000000001,98.92,16,1010,N/A
2017,1,6,4,30,0,0,15,0.124,0.4,98.52,16,1010,N/A
2017,1,6,5,30,0,0,15,0.124,0.2,98.07000000000001,16,1010,N/A
2017,1,6,6,30,0,0,15,0.124,0.2,97.79,16,1010,N/A
2017,1,6,7,30,0,0,15,0.124,0.5,97.60000000000001,16,1010,N/A
2017,1,6,8,30,0,0,15,0.124,0.8,100,15,1010,N/A
2017,1,6,9,30,0,0,15,0.124,1.1,100,15,1010,N/A
